campaign_date,campaign_id,campaign_name,channel,campaign_type,segment,region,impressions,clicks,leads,customers,spend,revenue
2025-11-01,CMP018,Affiliate_Acquisition_03,Affiliate,Acquisition,Mid-Market,West,1025186,26058,2073,385,45472.17,268974.55
2025-12-01,CMP018,Affiliate_Acquisition_03,Affiliate,Acquisition,Mid-Market,West,1171395,38493,3792,609,43832.51,416680.96
2025-01-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,552722,17813,1761,360,26854.18,257619.24
2025-02-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,719057,19950,1472,228,30840.39,159964.92
2025-03-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,629336,17127,1298,184,29268.51,145134.21
2025-04-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,724958,22927,1969,359,34611.36,282566.33
2025-05-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,703142,17775,1788,325,28976.27,232968.42
2025-06-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,934681,23359,1838,338,38736.01,252107.85
2025-07-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,604136,17476,1537,282,28878.75,208377.39
2025-08-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,820884,19487,1603,287,34487.25,195869.72
2025-09-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,819408,22516,2275,404,36444.97,310959.46
2025-10-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,920219,30200,2192,365,36014.06,258986.78
2025-11-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,975589,23830,1877,348,41668.37,233262.12
2025-12-01,CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,880621,22114,1818,296,41347.32,221642.15
2025-01-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,693490,21708,1837,290,30539.15,171301.5
2025-02-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,591932,19483,1683,346,25918.72,226835.52
2025-03-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,532768,13482,1099,210,27802.97,146486.29
2025-04-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,663623,17997,1763,333,29704.8,233533.86
2025-05-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,541586,15399,1322,266,29672.69,173566.56
2025-06-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,676231,16335,1455,283,35080.44,185623.0
2025-07-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,643323,19378,1549,277,28458.82,177389.44
2025-08-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,647902,15408,1500,243,30738.1,173686.58
2025-09-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,525827,17385,1265,229,28848.4,144780.77
2025-10-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,690087,22851,1711,307,35410.85,210777.16
2025-11-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,670196,20995,1717,281,29546.07,185106.45
2025-12-01,CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,729713,24133,1978,376,37441.18,248013.3
2025-01-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,337371,2762,109,11,20404.87,10123.32
2025-02-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,342811,3633,145,16,19902.48,14127.63
2025-03-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,547613,4697,177,16,27678.3,14180.37
2025-04-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,491694,5671,297,34,28774.58,30111.14
2025-05-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,478256,4381,171,20,24736.56,17680.75
2025-06-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,430430,3827,200,24,22663.06,19325.88
2025-07-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,452546,4584,202,26,23823.97,20463.59
2025-08-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,527450,5016,241,26,25732.43,21705.71
2025-09-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,430601,3677,153,13,23873.2,10974.49
2025-10-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,517743,5716,259,29,25682.39,25970.16
2025-11-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,443881,4963,247,27,24191.49,22050.93
2025-12-01,CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,424726,3778,195,21,25545.17,17079.05
2025-01-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,670257,6333,291,32,27228.35,25397.38
2025-02-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,771369,8294,407,47,31575.74,42686.81
2025-03-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,617471,5214,198,23,29715.1,19850.18
2025-04-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,668467,6595,315,35,31751.86,30506.63
2025-05-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,559346,5654,285,34,27705.4,27729.17
2025-06-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,667540,6642,300,29,26651.28,25175.84
2025-07-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,582723,6426,330,43,27375.67,33850.9
2025-08-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,591593,5625,252,25,26799.15,20178.66
2025-09-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,616293,6007,284,28,26125.82,25538.86
2025-10-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,648914,6785,287,35,27767.5,29739.68
2025-11-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,754006,7140,269,35,33648.38,29782.39
2025-12-01,CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,965806,9303,354,39,40165.61,35684.91
2025-01-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,605157,6943,339,41,28121.95,33915.58
2025-02-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,526607,4727,218,20,25303.97,17014.47
2025-03-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,666701,7907,381,35,29838.68,32576.74
2025-04-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,546265,5189,271,33,27640.05,26361.71
2025-05-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,595562,5023,197,20,28143.13,16910.73
2025-06-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,593498,6018,255,29,28760.28,22986.14
2025-07-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,637011,5959,253,31,31830.14,26520.43
2025-08-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,626336,7034,303,35,28174.69,32605.39
2025-09-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,574786,6266,302,27,29095.3,22833.37
2025-10-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,670530,7434,345,41,33836.46,35432.16
2025-11-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,580943,6111,310,29,28301.89,25540.98
2025-12-01,CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,536229,4648,173,17,28064.6,13442.64
2025-01-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,535581,6059,296,35,25668.76,29861.17
2025-02-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,482954,4817,207,27,26091.46,22764.86
2025-03-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,557992,5964,304,36,27225.38,32458.35
2025-04-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,538868,6309,262,26,25904.77,24051.37
2025-05-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,617149,6662,321,35,31719.19,29629.83
2025-06-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,546260,5930,247,28,29108.93,24005.59
2025-07-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,645307,6125,303,28,30351.55,21620.24
2025-08-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,683036,7915,377,45,29630.35,36062.0
2025-09-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,672292,6909,286,26,30660.0,23164.74
2025-10-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,613678,7069,287,28,26420.68,21896.94
2025-11-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,611195,6545,256,33,29298.33,30731.08
2025-12-01,CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,575479,6578,294,34,28789.2,30379.17
2025-01-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,761918,7963,367,44,30474.63,45546.24
2025-02-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,770384,8922,358,46,31515.51,48146.43
2025-03-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,639309,7531,400,52,28334.04,53234.06
2025-04-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,569643,4979,266,27,25686.68,28218.36
2025-05-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,683908,8062,413,45,30299.91,40208.01
2025-06-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,667274,6692,278,27,27208.09,26920.41
2025-07-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,710258,7900,317,40,32026.03,41103.88
2025-08-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,697729,6046,292,28,31071.02,24740.03
2025-09-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,683090,6355,261,32,28475.29,33230.34
2025-10-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,628207,5270,253,30,29363.86,26058.85
2025-11-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,699059,6874,313,40,29578.35,39630.29
2025-12-01,CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,819782,9596,404,47,33033.06,42230.54
2025-01-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,463251,4476,216,23,26774.37,23169.72
2025-02-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,416708,3997,173,19,26398.63,18142.08
2025-03-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,440638,4565,165,18,25392.79,18477.88
2025-04-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,393788,3119,147,14,23678.05,13779.59
2025-05-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,461791,4757,196,16,27451.03,14081.11
2025-06-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,428857,3945,176,16,25953.91,13746.18
2025-07-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,441728,3575,127,12,23188.54,11856.88
2025-08-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,459120,4723,233,23,24477.51,20919.59
2025-09-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,427776,4050,184,21,23266.44,19449.1
2025-10-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,514701,5333,214,17,30299.58,17649.19
2025-11-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,596264,6068,220,26,32409.56,24171.71
2025-12-01,CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,400253,4040,185,22,26597.89,20745.36
2025-01-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,561398,4796,238,26,26188.57,22787.45
2025-02-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,680718,6932,338,27,32333.04,24142.2
2025-03-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,627987,6041,278,23,27012.92,22901.16
2025-04-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,687985,5743,278,23,31199.38,21867.02
2025-05-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,565307,5691,228,24,29457.17,23586.75
2025-06-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,670721,5432,246,22,30942.21,20066.09
2025-07-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,496114,5241,258,27,26617.13,25276.54
2025-08-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,550508,5929,270,30,29687.55,27466.79
2025-09-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,699804,6214,291,29,31042.89,29474.87
2025-10-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,610081,6294,310,32,31022.81,33244.14
2025-11-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,820802,6922,265,28,36265.97,28846.24
2025-12-01,CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,944847,9491,361,33,41289.51,32438.92
2025-01-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,277192,2481,101,11,20901.59,10908.97
2025-02-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,361032,3662,176,14,22827.95,15799.17
2025-03-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,310166,2820,103,11,20822.17,11403.55
2025-04-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,341340,3028,118,10,23724.29,10286.3
2025-05-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,330409,3397,138,15,21364.21,16665.31
2025-06-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,303989,2724,101,8,21301.99,7815.29
2025-07-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,327520,2785,100,9,23880.08,9012.09
2025-08-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,311317,2880,126,11,22271.89,12011.9
2025-09-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,335413,2930,106,11,24815.86,10539.47
2025-10-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,336534,3392,142,14,24012.42,13096.33
2025-11-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,264645,2691,117,12,20511.75,12096.27
2025-12-01,CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,416992,3927,133,13,27913.78,12999.75
2025-01-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,210819,1494,65,6,16961.0,5456.82
2025-02-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,201470,1686,79,6,17347.68,6176.58
2025-03-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,238549,2136,79,7,18390.17,7042.27
2025-04-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,179931,1521,56,5,16421.13,4559.98
2025-05-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,278198,2811,120,9,20566.69,8388.03
2025-06-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,227367,2048,89,7,18582.37,7109.29
2025-07-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,242084,2435,116,12,19093.93,12355.67
2025-08-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,177577,1630,67,5,16003.01,5152.95
2025-09-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,255614,2228,95,7,19904.45,7116.07
2025-10-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,215885,1615,73,7,16498.93,7220.4
2025-11-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,235276,2068,94,9,19637.05,8619.36
2025-12-01,CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,242528,2299,99,7,21083.42,6976.46
2025-01-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,437693,4317,210,20,25374.5,24239.79
2025-02-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,352309,3730,156,14,20081.66,17507.07
2025-03-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,387115,3682,131,13,24341.45,15829.06
2025-04-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,509735,4013,181,19,27644.35,22879.77
2025-05-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,437699,3235,126,11,23892.85,12058.27
2025-06-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,417442,3685,157,15,23275.29,15603.65
2025-07-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,436107,4060,159,15,23720.87,16519.22
2025-08-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,424370,4367,210,25,23031.07,29141.46
2025-09-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,391445,3062,119,11,22920.65,11536.23
2025-10-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,440824,3942,140,12,26069.45,13090.56
2025-11-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,482859,3866,139,12,29761.74,15027.24
2025-12-01,CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,455636,4546,179,16,28257.72,19545.98
